TIMESTAMP,GLOBAL_Avg,DIRECT_Avg,DIFFUSE_Avg,GH_CALC_Avg,percent
2022-12-31 22:14:00,-2.08691,-0.17576,-2.94582,-2.94582,-0.02791397177102704
2022-12-31 22:15:00,-2.07778,-0.162354,-2.93118,-2.93118,-0.027882296363881773
2022-12-31 22:16:00,-2.02869,-0.180228,-2.87796,-2.87796,-0.027189360535970663
2022-12-31 22:17:00,-1.96361,-0.180228,-2.85667,-2.85667,-0.026973112757993273
2022-12-31 22:18:00,-1.9385,-0.186186,-2.85534,-2.85534,-0.02690371420602369
2022-12-31 22:19:00,-1.93051,-0.192145,-2.83539,-2.83539,-0.026647899109336768
2022-12-31 22:20:00,-2.00815,-0.199593,-2.90592,-2.90592,-0.027283462005024007
2022-12-31 22:21:00,-2.02528,-0.181719,-3.07224,-3.07224,-0.029102423187277435
2022-12-31 22:22:00,-2.03669,-0.17874,-3.20263,-3.20263,-0.030429670242112638
2022-12-31 22:23:00,-2.03668,-0.17725,-3.23588,-3.23588,-0.03077234943863701
2022-12-31 22:24:00,-2.04924,-0.17725,-3.30906,-3.30906,-0.031501043603812
2022-12-31 22:25:00,-2.02984,-0.154908,-3.29975,-3.29975,-0.031605611199971004
2022-12-31 22:26:00,-2.01386,-0.14746,-3.22258,-3.22258,-0.030898301973706997
2022-12-31 22:27:00,-2.00472,-0.168313,-3.1494,-3.1494,-0.029975895590695835
2022-12-31 22:28:00,-2.00586,-0.168313,-3.12411,-3.12411,-0.029720165620395228
2022-12-31 22:29:00,-1.98302,-0.17278,-3.08152,-3.08152,-0.029251006243504452
2022-12-31 22:30:00,-2.0184,-0.17278,-3.09349,-3.09349,-0.029367836342689066
2022-12-31 22:31:00,-2.04694,-0.154906,-3.13607,-3.13607,-0.029953196907701103
2022-12-31 22:32:00,-2.05151,-0.147459,-3.10148,-3.10148,-0.029672564283904065
2022-12-31 22:33:00,-2.03439,-0.141501,-3.07087,-3.07087,-0.02941841576034643
2022-12-31 22:34:00,-1.97501,-0.165332,-2.97373,-2.97373,-0.02822706964050273
2022-12-31 22:35:00,-1.89167,-0.163842,-2.80076,-2.80076,-0.026508384871818606
2022-12-31 22:36:00,-1.90423,-0.178737,-2.71693,-2.71693,-0.025530983935713236
2022-12-31 22:37:00,-1.87456,-0.178738,-2.6451,-2.6451,-0.024809905998750794
2022-12-31 22:38:00,-1.87798,-0.178738,-2.7063,-2.7063,-0.02541914983916265
2022-12-31 22:39:00,-1.91222,-0.187674,-2.79544,-2.79544,-0.0262255107791981
2022-12-31 22:40:00,-1.9168,-0.178738,-2.79013,-2.79013,-0.026252036985891486
2022-12-31 22:41:00,-1.94306,-0.178739,-2.81276,-2.81276,-0.026475670684675153
2022-12-31 22:42:00,-1.95905,-0.17427,-2.83937,-2.83937,-0.026780495804437702
2022-12-31 22:43:00,-1.96589,-0.162354,-2.78082,-2.78082,-0.026302933004972582
2022-12-31 22:44:00,-1.9499,-0.151927,-2.72758,-2.72758,-0.025865011996001747
2022-12-31 22:45:00,-1.92135,-0.154905,-2.66637,-2.66637,-0.02522305185162252
2022-12-31 22:46:00,-1.93962,-0.169801,-2.66372,-2.66372,-0.025055620759501084
2022-12-31 22:47:00,-1.94534,-0.177249,-2.67437,-2.67437,-0.02509027202548645
2022-12-31 22:48:00,-1.89853,-0.166822,-2.55462,-2.55462,-0.023987731025326333
